;; Sri Ganeshji : Sri Balaji : Sri Pitreshwarji : Sri Durgaji : Sri Venkateshwara ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;; Section/Object,SDFId of Object,IsPrimary,IsRecursive,HasMstTree,HasValidFunc,HasPrepareFunc,RF Required 1,RF Required 2,Is OR Test,HasSplitFunc,HasIsEmptyFunc,ObjNameRF,Natural Language Accessible,NatLangAliases,HasViews,UseFastCaching,Can Regenerate,GetPvtFuncs,HasMsgPrepareFunc,Section Close,,,,,,,,,,,,,,,,COMMENTS (must start with //)
;; FLD Name, Type,Level, RF Name, TDL Name, Default Value, Repeated, Object Name,MST OBJ Name, IsUnique, UniqueRF for Aggr / BaseDate For DateRange, SchemaInEditModeOnly,IsInherited,IsCacheRequired/Property of Object,SourceCollection,IsSysNameIsString,Required For Remoting,NatLang Accessible,NatLang Aliases,FromDateParmApplicable,ToDateParmApplicable,ValMethodParmApplicable,ScenarioParmApplicable,ObjIdentiferParm,View,IsConsumable,Read/Write,IsInitiallyGathered,IsEncrypted,IsExportable,RFSrcType,RFSrcTdlExp,RegeneratesObj,DependencyType,Is Status Type,Dependency,COMMENTS(muststartwith//)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VTYP_CLASS_VAT_CLASSIFICATION_NATURE,STR,,RF_VAT_CLASSIFICATION_NATURE,VATClassificationNature, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VTYP_CLASS_LED_DUTY_HEAD_DET,AGGR,,RF_DUTY_HEAD_DET,DutyHeadDetails,NULL,TRUE,OBJ_DUTY_HEAD_DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VTYP_CLASS_GST_CLASSIFICATION_NAME,MSTID,,RF_GST_CLASSIFICATION_NAME,GSTClassificationName, NULL, FALSE, NULL,OBJ_GST_CLASSIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VTYP_CLASS_GST_CLASSIFICATION_NATURE,STR,,RF_GST_CLASSIFICATION_NATURE,GSTClassificationNature, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VTYP_CLASS_IS_ZRBASIC_SERVICE,SYSID,,RF_IS_ZRBASIC_SERVICE,IsZRBasicService, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[AUDIT_ENTRIES:Audit Entries,,FALSE,FALSE,FALSE,FALSE,FALSE,RF_AUDIT_NAME,RF_AUDIT_TYPE,,,,,,,,,,,,],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_NAME,SYSID,,RF_AUDIT_NAME,AuditName, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_TYPE,SYSID,,RF_AUDIT_TYPE,AuditType, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDITED_BY,STR,,RF_AUDIT_AUDITED_BY,AuditedBy, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_DATE,DATE,,RF_AUDIT_DATE,AuditDate, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_TIME,STR,,RF_AUDIT_TIME,AuditTime, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_STATUS,SYSID,,RF_AUDIT_STATUS,AuditStatus, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_AMOUNT,AMT,,RF_AUDIT_AMOUNT,AuditAmount, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_NOTE,STR,,RF_AUDIT_NOTE,AuditNote, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_CLRIFICATN,STR,,RF_AUDIT_CLRIFICATN,AuditClarification, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_ADDL_INFO,STR,,RF_AUDIT_ADDL_INFO,AuditAddlInfo, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_ANNEX_STATUS,SYSID,,RF_AUDIT_ANNEX_STATUS,AnnexureStatus,NULL,TRUE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_ADT_PERIOD_FROM,DATE,,RF_AUDIT_PERIOD_FROM,AuditPeriodFrom, NULL, FALSE, NULL                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_CATEGORY,STR,,RF_AUDIT_CATEGORY,AuditCategory,NULL,FALSE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_PRIORITY,SYSID,,RF_AUDIT_PRIORITY,AuditPriority,NULL,FALSE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_VCH_AUDIT_CLRIFICATN_FROM,STR,,RF_CLRIFICATN_FROM,AuditClarificationFrom,NULL,FALSE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[PRESUFFIX: Prefix Suffix List, , FALSE, FALSE, FALSE, FALSE ,FALSE,RF_DATE,,,,,,,,,,,,TRUE,],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*INDIRECT, DATE,, RF_DATE, Date, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_PRESUF_FORMULA, STR,, RF_NAME, Name, NULL, FALSE, NULL,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
FLD_PRESUF_DATE, DATE,, NULL, NULL, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,// TE-22252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[NUM_PERIOD_LIST: Restart From List, , FALSE, FALSE, FALE, FALSE ,FALSE,RF_DATE,RF_RESTART_BASIS,,,,,,,,,,,,],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*INDIRECT, DATE,, RF_DATE, Date, NULL, FALSE ,             NULL                                                                                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_RESTART_BASIS, SYSID,, RF_RESTART_BASIS, Restart From, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,, //  CONTINUOUS DAILY WEEKLY MONTHLY YEARLY
FLD_RESTART_WEEKDAY, LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, //  if WEEKLY what is 'start of week' (Sunday = 0)
FLD_RESTART_NUMBER, LONG,, RF_RESTART_NUMBER, Period Beginnig Num, NULL, FALSE, NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,, //  number to start from
FLD_LAST_NUMBER_AGGR,AGGR,,RF_LAST_NUMBER_LIST,Last Number List, NULL,TRUE,OBJ_LAST_NUMBER_LIST,,TRUE,RF_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[LAST_NUMBER_LIST:Last Number List,,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*INDIRECT,DATE,,RF_DATE,NULL,NULL,FALSE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
